id,title,original_title,overview,adult,original_language,popularity,release_date,vote_average,vote_count
1715208,The Town That Takes,The Town That Takes,"After his young son vanishes during a family road trip through a remote backwoods town, a desperate father joins forces with two detectives to uncover the terrifying truth behind the legend of CROATOAN. As the town's dark secrets unravel, they realize something ancient is hunting children.",False,en,0.8002,2026-07-10,0.0,0
76341,Mad Max: Fury Road,Mad Max: Fury Road,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.",False,en,37.3798,2015-05-13,7.634,24180
1715560,Backwoods Blood Feud,Backwoods Blood Feud,"After a failed heist, a group of fugitives hide in a remote winter forest-only to discover two monstrous factions locked in a savage blood feud. Trapped between them, humans quickly become prey.",False,en,0.5838,2026-06-22,0.0,0
1713142,A Fighter from the Underworld,江湖格斗家,,False,zh,0.3241,2026-06-21,0.0,0
1697665,KILL,킬,"Yi-seo, a college student who is about to graduate, gets an ""F"" for dozing off during a Chaple class. Against AI attendance, CCTV cameras and a school system that avoids responsibility, Yi-seo revolts in the school to graduate.",False,ko,0.2704,2026-06-20,6.0,1
1723993,Umamusume: Pretty Derby – 7th EVENT WORLD TOUR: THE STAGE in TOKYO,ウマ娘 プリティーダービー 7th EVENT WORLD TOUR 「THE STAGE」 in TOKYO,7th EVENT WORLD TOUR THE STAGE is a live event for Umamusume: Pretty Derby.  This is the first live event in the franchise's history to have performances held outside of Japan.,False,ja,0.0786,2026-06-20,0.0,0
1706695,UFC Fight Night 279: Kape vs. Horiguchi,UFC Fight Night 279: Kape vs. Horiguchi,"UFC Fight Night 279: Kape vs. Horiguchi was a mixed martial arts event produced by the Ultimate Fighting Championship that took place on June 20, 2026, at the Meta Apex in Enterprise, Nevada, part of the Las Vegas Valley, United States. A flyweight rematch between former RIZIN Bantamweight Champion Manel Kape and former UFC Flyweight Championship challenger Kyoji Horiguchi (who is also a former RIZIN Flyweight and two-time RIZIN Bantamweight Champion, as well as former Bellator Bantamweight World Champion) served as the event headliner.",False,en,0.5828,2026-06-20,0.0,0
1688525,"Standby, Mom",배우는 엄마,,False,ko,0.3552,2026-06-19,5.0,1
1691969,Wishful Thinking,하늘에 별따기,,False,ko,0.6651,2026-06-19,6.0,1
1119090,I Am Frankelda,Soy Frankelda,A gifted young writer in 19th-century Mexico journeys into her subconscious and comes face to face with characters from her own spooky stories.,False,es,7.6472,2025-10-23,8.263,95
1717357,Charbonneurs,Charbonneurs,,False,fr,3.4093,2026-06-19,10.0,1
1694531,Mesdames Thanh Sắc,Mesdames Thanh Sắc,"Mesdames Thanh Sắc follows the intertwined lives of the captivating beauty Cầm Thanh (Thanh Hằng) and Madame Sắc (Hồng Ánh), the wealthy owner of the prestigious Kim Đô nightclub, renowned for her fortune and vast collection of diamonds. Though she rises through Madame Sắc’s ranks to become one of Saigon’s most celebrated dancers in the 1960s, Cầm Thanh longs to break free from her patron’s control. As their ambitions and desires collide, the two women become locked in a tense power struggle that sets off a series of shocking and far-reaching events.",False,vi,0.3026,2026-06-19,0.0,0
1716842,Latina,Latina,"A story about a mysterious woman who shakes up a seemingly ordinary boarding house. As she charms both the boys and girls, secrets unravel, relationships collide, and chaos takes over.",False,tl,10.1537,2026-06-19,7.25,4
